SKU,Category,Lead Time (days)
20990,WINE,21
21032,LIQUOR,14
21130,WINE,21
21148,WINE,15
21164,WINE,17
21172,WINE,14
21180,WINE,16
21199,WINE,16
21202,WINE,21
21210,WINE,17
21300,WINE,17
21326,WINE,19
21377,WINE,15
21385,WINE,21
21423,WINE,16
2143,BEER,10
21474,WINE,16
21482,WINE,16
21504,WINE,15
21563,WINE,16
21601,WINE,17
21610,LIQUOR,17
21652,WINE,20
21679,LIQUOR,11
21687,LIQUOR,11
21725,WINE,21
21792,WINE,19
21806,WINE,18
21903,WINE,21
21920,WINE,17
2194,KEGS,17
21946,WINE,16
21962,WINE,19
21973,BEER,7
21975,BEER,14
21984,BEER,8
21989,WINE,19
21993,BEER,9
21994,BEER,13
22004,LIQUOR,13
22018,BEER,8
22048,BEER,8
22103,BEER,11
22113,BEER,14
22123,BEER,10
22142,BEER,10
22144,LIQUOR,16
2216,KEGS,18
22179,WINE,21
22182,BEER,9
22192,BEER,12
22249,BEER,11
22268,WINE,21
22284,WINE,17
22302,BEER,11
22310,BEER,9
2232,BEER,13
22322,LIQUOR,17
22339,BEER,11
22340,BEER,13
22342,BEER,13
22353,BEER,7
22359,BEER,10
22382,BEER,10
22420,WINE,15
22422,BEER,10
22425,KEGS,19
22431,BEER,9
22441,BEER,12
22445,BEER,10
22462,WINE,16
22470,LIQUOR,20
22489,WINE,21
22492,KEGS,16
22501,BEER,10
22510,BEER,11
22543,WINE,21
22562,BEER,14
22568,BEER,11
22569,BEER,8
22571,KEGS,18
22573,KEGS,21
22578,WINE,16
22586,WINE,19
22589,BEER,7
2259,KEGS,18
22594,WINE,15
22599,BEER,8
22601,BEER,14
22608,WINE,21
22613,BEER,12
22616,WINE,17
22624,WINE,20
22627,BEER,8
22647,BEER,8
22649,BEER,13
22658,BEER,13
22681,KEGS,20
22683,WINE,15
22691,WINE,16
22702,BEER,13
22704,BEER,12
22712,BEER,14
22780,LIQUOR,15
22810,WINE,14
22811,BEER,12
22837,LIQUOR,16
22890,BEER,10
22917,BEER,7
22918,LIQUOR,20
22919,BEER,13
22921,BEER,11
22931,BEER,8
22935,BEER,14
22940,BEER,8
22946,BEER,14
22953,BEER,9
22956,BEER,8
22959,BEER,13
22981,BEER,9
22982,BEER,10
22988,KEGS,18
22993,LIQUOR,15
22996,KEGS,21
23004,BEER,10
23005,BEER,12
23006,BEER,11
23007,BEER,9
23024,BEER,12
23044,BEER,7
23053,BEER,10
23054,KEGS,18
23057,BEER,14
23063,BEER,12
23072,BEER,8
23074,BEER,13
23075,BEER,11
23078,WINE,19
23079,KEGS,15
23080,BEER,8
23082,BEER,11
23083,BEER,9
23084,BEER,10
23092,KEGS,18
23108,WINE,21
23109,BEER,10
23133,KEGS,15
23135,BEER,7
23143,KEGS,14
23146,BEER,14
23166,BEER,7
23167,LIQUOR,13
23178,BEER,10
23179,BEER,10
23181,BEER,12
231871,WINE,17
231873,WINE,14
231877,WINE,18
231879,WINE,14
231889,WINE,19
231897,WINE,14
231905,WINE,15
231909,WINE,21
231911,WINE,15
231919,WINE,14
231921,WINE,19
231923,WINE,21
231925,WINE,18
231929,WINE,17
231935,WINE,15
231968,WINE,14
231970,WINE,19
231972,WINE,20
231974,WINE,14
231982,WINE,14
231984,WINE,19
231988,WINE,18
23199,BEER,14
232008,WINE,18
232010,WINE,17
232020,WINE,14
232028,WINE,14
23203,BEER,8
232030,WINE,21
232032,WINE,16
232044,WINE,18
232058,WINE,16
23206,BEER,12
232072,WINE,20
232078,WINE,15
232098,WINE,16
232128,WINE,18
23213,LIQUOR,14
232134,WINE,17
232138,WINE,19
232144,WINE,14
23215,BEER,14
232162,WINE,19
232176,WINE,19
232184,WINE,21
232202,WINE,14
23221,LIQUOR,13
232218,WINE,17
232240,WINE,14
232274,WINE,18
232310,WINE,17
232338,WINE,21
232340,WINE,14
232342,WINE,16
23235,BEER,11
232368,WINE,14
232376,WINE,18
232390,WINE,14
232398,LIQUOR,15
232408,WINE,21
232412,WINE,19
232424,WINE,14
232432,WINE,14
232434,WINE,18
232436,WINE,19
23244,BEER,13
232442,WINE,18
232464,WINE,18
23247,BEER,8
23251,BEER,12
232516,WINE,14
232518,WINE,18
232520,WINE,14
232524,WINE,17
232526,WINE,19
232536,WINE,19
232546,WINE,19
232556,WINE,14
232568,WINE,20
23258,KEGS,17
232580,WINE,20
232582,WINE,14
232586,WINE,14
232588,WINE,18
232590,WINE,21
232616,WINE,20
232622,WINE,19
232642,WINE,17
232650,LIQUOR,11
232652,LIQUOR,13
232662,WINE,15
232708,WINE,16
232716,WINE,18
232746,WINE,18
232786,WINE,19
232806,WINE,20
23282,BEER,12
232822,WINE,18
232824,WINE,19
232840,WINE,21
232842,WINE,20
232860,WINE,18
232866,WINE,17
232874,WINE,19
232876,WINE,18
23289,BEER,8
232898,WINE,14
232900,WINE,16
232904,WINE,19
232910,WINE,17
232914,WINE,21
232934,LIQUOR,19
232948,WINE,16
232950,WINE,20
232962,WINE,17
232974,WINE,17
232992,WINE,19
232994,WINE,19
232996,WINE,15
233002,WINE,19
233008,WINE,15
23301,BEER,12
233010,WINE,14
233034,WINE,14
